Job Title,Company Name,Experience Required,Salary,Location,Job Description
IT Specialist (Remote),No Company Name Available,Not Disclosed,Not Disclosed,"$50,000 - $60,000 a year","Compensation Range: $50,000 - $60,000 per year dependent upon experience"
IT PROFESSIONAL 2,No Company Name Available,Not Disclosed,Not Disclosed,"$73,310 - $109,641 a year",No Description Available
IT Service Desk Specialist,No Company Name Available,Not Disclosed,Not Disclosed,Full-time,
IT Support Technician 1,No Company Name Available,Not Disclosed,Not Disclosed,Full-time,No Description Available
"Associate, Data & Technology, IT Service Desk Technician - Level 1",No Company Name Available,Not Disclosed,Not Disclosed,Full-time,No Description Available
IT TECHNICIAN 4,No Company Name Available,Not Disclosed,Not Disclosed,"$56,689.00 - $83,666.16 a year",No Description Available
IT Support Tier 1,No Company Name Available,Not Disclosed,Not Disclosed,No Location Available,This job has no supervisory responsibilities.
Information Technology Specialist (Non-Competitive),No Company Name Available,Not Disclosed,Not Disclosed,"$62,164.36 - $88,009.21 a year",Existing Vacancies:One (1)
"Analyst, AACU Desktop Support",No Company Name Available,Not Disclosed,Not Disclosed,No Location Available,No Description Available
IT Help Desk Technician,No Company Name Available,"Manage user accounts. | Train new hires on infrastructure and operating system use. | Train users when systems or applications are upgraded. | Schedule requests to add, move or change hardware, software or phones. | Document procedures and maintain a library of information so that repeat questions or issues can be solved quickly",Not Disclosed,$30.08 - $38.92 an hour,No Description Available
IT Analyst - Ecommerce,No Company Name Available,Not Disclosed,Not Disclosed,No Location Available,No Description Available
IT Professional,No Company Name Available,Not Disclosed,Not Disclosed,Full-time,Job Location
Associate Tech User Support Analyst,No Company Name Available,Not Disclosed,Not Disclosed,"$48,800 - $73,200 a year",No Description Available
IT Support Technician,No Company Name Available,Not Disclosed,Not Disclosed,Contract,Qualifications and Skills:
Information Technology Specialist,No Company Name Available,Not Disclosed,Not Disclosed,"$62,107 - $96,770 a year","This Direct-Hire position is in the Food and Drug Administration and is located in the Center for Tobacco Products (CTP), Office of Science (OS), Division of Regulatory Science Informatics (DRSI), Informatics Services and Support Branch. The Informatics Services and Support Branch is responsible for providing data and technology modernization, IT project management, customer service, and application learning/training support."
IT Support Technician II,No Company Name Available,Not Disclosed,Not Disclosed,No Location Available,No Description Available
"Supervisor, IT Service Desk",No Company Name Available,Not Disclosed,Not Disclosed,"$80,000 - $90,000 a year",
"Analyst, Information Technology Support",No Company Name Available,Not Disclosed,Not Disclosed,Full-time,No Description Available
IT Associate 1,No Company Name Available,Not Disclosed,Not Disclosed,No Location Available,A maximum of 90 semester hours may be combined with experience or training in information technology to substitute for the baccalaureate degree.
IT Systems Administrator II – Denver International Airport,No Company Name Available,"FBI Background Check: FBI criminal background check is required for all positions at Denver International Airport (DEN). Employees are also required to report any felony convictions and/or moving violations to maintain this clearance and be eligible for continued employment. By position, a pre-employment physical/drug test may be required. | Snow/Emergency Duties: Denver International Airport is a 24/7/365 team operation. If weather conditions warrant or an emergency crisis occurs, all DEN employees can be required to work extended hours and/or shifts.",Not Disclosed,"$70,765 - $116,762 a year",No Description Available
IT Analyst - Ecommerce,No Company Name Available,Not Disclosed,Not Disclosed,No Location Available,No Description Available
IT Asset Coordinator,No Company Name Available,Not Disclosed,Not Disclosed,$23.07 - $28.21 an hour,No Description Available
IT Technician 4,No Company Name Available,Not Disclosed,Not Disclosed,Full-time,Department: Continuous contact with departmental staff and student employees in support of client assistance regarding status and resolution of client issues.
Information Technology Specialist,No Company Name Available,Not Disclosed,Not Disclosed,"$62,107 - $96,770 a year","This Direct-Hire position is in the Food and Drug Administration and is located in the Center for Tobacco Products (CTP), Office of Science (OS), Division of Regulatory Science Informatics (DRSI), Informatics Services and Support Branch. The Informatics Services and Support Branch is responsible for providing data and technology modernization, IT project management, customer service, and application learning/training support."
Technology Support Technician,No Company Name Available,Not Disclosed,Not Disclosed,"$55,265 - $61,406 a year",No Description Available
IT Help Desk Technician,No Company Name Available,Not Disclosed,Not Disclosed,No Location Available,Who we are:
Services Analyst - IT,No Company Name Available,"Annual salary will vary based on a candidate's skills, qualifications, experience, and other factors: $84,000-$126,000 | Annual bonus and incentive pay up to 10% | 401(k) match and annual company contribution | Medical, Dental and Vision Insurance | Life and disability insurance | Generous paid time off, including vacation, floating and fixed holidays and sick time | Maternity leave as well as paid bonding/primary caregiver leave or parental leave for the birth or adoption of a child or to care for an ill family member, as applicable (eligibility based on position) | Long Term Incentive Plan for eligible positions | Wellbeing programs such as tuition reimbursement, adoption assistance and fitness reimbursement | Referral bonus program | And much more",Not Disclosed,"$84,000 - $126,000 a year",No Description Available
"Computer User Support Specialist 1, Digital Technology Solutions",No Company Name Available,Not Disclosed,Not Disclosed,"$45,000 - $55,000 a year","For questions about the UC recruiting process or to request accommodations with the application, please contact Human Resources at jobs@uc.edu."
IT Support Specialist,No Company Name Available,"Medical | Health Advocate – This confidential service can help you; your spouse, dependent children, parents, and parents-in-law resolve health care and insurance-related issues, manage chronic conditions and improve your health and well-being. | Dental – Delta Dental PPO; DeltaCare USA | Vision – VSP Vision Plan | 401(k) | Flexible Spending Account | Onsite Wellness Clinic – Onsite physician for basic health and wellness consultations.",Not Disclosed,"$60,000 - $92,000 a year",No Description Available
INFORMATION TECHNOLOGY TECHNICIAN,No Company Name Available,Not Disclosed,Not Disclosed,"$53,934.40 - $72,280.00 a year",No Description Available
IT Specialist (Remote),No Company Name Available,Not Disclosed,Not Disclosed,"$50,000 - $60,000 a year","Compensation Range: $50,000 - $60,000 per year dependent upon experience"
IT Help Desk Technician,No Company Name Available,"Manage user accounts. | Train new hires on infrastructure and operating system use. | Train users when systems or applications are upgraded. | Schedule requests to add, move or change hardware, software or phones. | Document procedures and maintain a library of information so that repeat questions or issues can be solved quickly",Not Disclosed,$30.08 - $38.92 an hour,No Description Available
IT Service Desk Specialist,No Company Name Available,Not Disclosed,Not Disclosed,Full-time,
IT PROFESSIONAL 2,No Company Name Available,Not Disclosed,Not Disclosed,"$73,310 - $109,641 a year",No Description Available
"Associate, Data & Technology, IT Service Desk Technician - Level 1",No Company Name Available,Not Disclosed,Not Disclosed,Full-time,No Description Available
IT Support Tier 1,No Company Name Available,Not Disclosed,Not Disclosed,No Location Available,This job has no supervisory responsibilities.
"Analyst, AACU Desktop Support",No Company Name Available,Not Disclosed,Not Disclosed,No Location Available,No Description Available
IT Helpdesk Specialist,No Company Name Available,Not Disclosed,Not Disclosed,No Location Available,No Description Available
"Computer User Support Specialist 1, Digital Technology Solutions",No Company Name Available,Not Disclosed,Not Disclosed,"$45,000 - $55,000 a year","For questions about the UC recruiting process or to request accommodations with the application, please contact Human Resources at jobs@uc.edu."
IT Technology Services Associate,No Company Name Available,Not Disclosed,Not Disclosed,Full-time,We believe in the physical and mental well-being of our employees and are committed to offering comprehensive benefits that fit their personal needs. Our robust employee benefits package includes:
IT Professional,No Company Name Available,Not Disclosed,Not Disclosed,Full-time,Job Location
"Supervisor, IT Service Desk",No Company Name Available,Not Disclosed,Not Disclosed,"$80,000 - $90,000 a year",
IT Technician 4,No Company Name Available,Not Disclosed,Not Disclosed,Full-time,Department: Continuous contact with departmental staff and student employees in support of client assistance regarding status and resolution of client issues.
Associate Tech User Support Analyst,No Company Name Available,Not Disclosed,Not Disclosed,"$48,800 - $73,200 a year",No Description Available
IT Support Technician,No Company Name Available,Not Disclosed,Not Disclosed,Contract,Qualifications and Skills:
